Date;HomeTeam;GuestTeam;HomeGoals;GuestGoals
24.08.18;Bayern Munich;HSV;3;1
25.08.18;Fortuna Dusseldorf;FC Augsburg;1;2
25.08.18;SC Freiburg;Eintracht Frankfurt;0;2
25.08.18;Union Berlin;FC Nurnberg;1;0
25.08.18;M'gladbach;Bayer Leverkusen;2;0
25.08.18;Werder Bremen;Hannover;1;1
25.08.18;Vfl Wolfsburg;Schalke 04;2;1
26.08.18;Dortmund;RB Leipzig;4;1
26.08.18;Mainz 04;Vfb Stuttgart;1;0
31.08.18;Hannover;Dortmund;0;0
01.09.18;FC Augsburg;M'gladbach;1;1
01.09.18;Eintracht Frankfurt;Werder Bremen;1;2
01.09.18;HSV;SC Freiburg;3;1
01.09.18;Bayer Leverkusen;Vfl Wolfsburg;1;3
01.09.18;FC Nurnberg;Mainz 04;1;1
01.09.18;Vfb Stuttgart;Bayern Munich;0;3
02.09.18;RB Leipzig;Fortuna Dusseldorf;1;1
02.09.18;Schalke 04;Union Berlin;0;2
14.09.18;Dortmund;Eintracht Frankfurt;3;1
15.09.18;Bayern Munich;Bayer Leverkusen;3;1
15.09.18;Fortuna Dusseldorf;HSV;2;1
15.09.18;Mainz 04;FC Augsburg;2;1
15.09.18;M'gladbach;Schalke 04;2;1
15.09.18;RB Leipzig;Hannover;3;2
15.09.18;Vfl Wolfsburg;Union Berlin;2;2
16.09.18;SC Freiburg;Vfb Stuttgart;3;3
16.09.18;Werder Bremen;FC Nurnberg;1;1
21.09.18;Vfb Stuttgart;Fortuna Dusseldorf;0;0
22.09.18;FC Augsburg;Werder Bremen;2;3
22.09.18;Union Berlin;M'gladbach;4;2
22.09.18;HSV;Dortmund;1;1
22.09.18;FC Nurnberg;Hannover;2;0
22.09.18;Schalke 04;Bayern Munich;0;2
22.09.18;Vfl Wolfsburg;SC Freiburg;1;3
23.09.18;Eintracht Frankfurt;RB Leipzig;1;1
23.09.18;Bayer Leverkusen;Mainz 04;1;0
25.09.18;Bayern Munich;FC Augsburg;1;1
25.09.18;SC Freiburg;Schalke 04;1;0
25.09.18;Hannover;HSV;1;3
25.09.18;Werder Bremen;Union Berlin;3;4
26.09.18;Dortmund;FC Nurnberg;7;0
26.09.18;Fortuna Dusseldorf;Bayer Leverkusen;1;2
26.09.18;Mainz 04;Vfl Wolfsburg;0;0
26.09.18;M'gladbach;Eintracht Frankfurt;3;1
26.09.18;RB Leipzig;Vfb Stuttgart;2;0
28.09.18;Union Berlin;Bayern Munich;2;0
29.09.18;HSV;RB Leipzig;1;2
29.09.18;Bayer Leverkusen;Dortmund;2;4
29.09.18;FC Nurnberg;Fortuna Dusseldorf;3;0
29.09.18;Schalke 04;Mainz 04;1;0
29.09.18;Vfb Stuttgart;Werder Bremen;2;1
29.09.18;Vfl Wolfsburg;M'gladbach;2;2
30.09.18;FC Augsburg;SC Freiburg;4;1
30.09.18;Eintracht Frankfurt;Hannover;4;1
05.10.18;Werder Bremen;Vfl Wolfsburg;2;0
06.10.18;Bayern Munich;M'gladbach;0;3
06.10.18;Dortmund;FC Augsburg;4;3
06.10.18;Fortuna Dusseldorf;Schalke 04;0;2
06.10.18;Hannover;Vfb Stuttgart;3;1
06.10.18;Mainz 04;Union Berlin;0;5
07.10.18;SC Freiburg;Bayer Leverkusen;0;0
07.10.18;HSV;Eintracht Frankfurt;1;2
07.10.18;RB Leipzig;FC Nurnberg;6;0
19.10.18;Eintracht Frankfurt;Fortuna Dusseldorf;7;1
20.10.18;FC Augsburg;RB Leipzig;0;0
20.10.18;Bayer Leverkusen;Hannover;2;2
